Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
511,48593,17.8945,-45.6927,230.812,235.971
512,48594,18.612,-45.6333,229.806,235.031
513,48595,18.7393,-44.6893,230.381,235.423
514,48596,19.5931,-44.2048,229.317,234.36
515,48597,19.2216,-45.1571,229.196,234.392
516,48603,20.2652,-41.9424,229.487,234.167
517,48604,19.8696,-43.0815,229.6,234.45
518,48605,19.5595,-42.0107,230.749,235.356
519,48606,19.1166,-42.9895,230.948,235.691
520,48607,19.2485,-43.6212,230.345,235.227
521,48612,19.9063,-41.2054,230.52,235.018
522,48613,20.3831,-40.9234,229.734,234.239
523,48614,20.1387,-40.2021,230.499,234.844
524,48615,20.8239,-39.8403,229.218,233.585
525,48621,20.4503,-39.2632,230.229,234.446
526,48622,21.0139,-38.4443,229.18,233.33
527,48623,20.6306,-37.9115,230.192,234.203
528,48628,21.1295,-37.0722,229.12,233.06
529,48629,21.1841,-36.0002,229.06,232.838
530,48630,20.7256,-36.5547,230.146,233.951
531,48631,20.7624,-35.4654,230.092,233.733
532,48636,21.1989,-34.9137,229.014,232.628
533,48637,21.1962,-33.7937,228.967,232.416
534,48638,20.7535,-34.3793,230.086,233.564
535,48639,20.7317,-33.3188,230.039,233.362
536,48645,21.1471,-32.7802,228.956,232.256
537,48646,21.035,-31.7166,228.971,232.113
538,48647,20.6592,-32.2524,229.995,233.162
539,48648,20.4992,-31.2008,230.025,233.035
540,48654,20.888,-30.6855,228.96,231.949
541,48655,20.6739,-29.4999,228.9,231.717
542,48656,20.2584,-30.2164,230.128,232.985
543,48657,19.8215,-29.164,230.428,233.11
544,48658,20.2601,-29.0803,229.543,232.263
545,48663,19.7976,-27.0787,229.091,231.534
546,48664,19.6721,-27.9911,229.989,232.52
547,48665,19.2562,-27.0443,230.065,232.448
548,48666,20.2224,-28.1286,229.013,231.619
549,48672,19.4927,-26.1567,228.916,231.229
550,48673,18.9835,-24.9459,228.738,230.876
